x y z vx vy vz
0 0 0.0115165 0 0 0 
0.0615788 0.014562 0.0843483 -0.0142735 0.0603588 0 
0.0780446 0.0437841 -0.419299 -0.0398731 0.0710734 0 
0.100192 -0.0444258 -0.0978391 0.0431681 0.0973553 0 
0.125136 -0.0188955 -0.26696 0.0176747 0.117051 0 
-0.132883 0.0486027 -0.505813 -0.0430413 -0.117677 0 
-0.000107452 0.154997 -0.191151 -0.146441 -0.000101521 0 
0.151446 0.071359 0.142972 -0.0678963 0.144097 0 
0.172115 -0.0490752 -0.0290719 0.0476496 0.167116 0 
-0.112707 -0.152752 -0.234148 0.141784 -0.104614 0 
-0.14966 0.132823 0.2035 -0.12372 -0.139403 0 
0.00504074 0.209806 -0.150131 -0.197033 0.00473386 0 
0.217066 -0.0305007 0.0312731 0.0292617 0.208248 0 
-0.0414661 0.224349 0.0457992 -0.213993 -0.039552 0 
0.234549 -0.032294 0.4443 0.028245 0.205141 0 
0.0171986 0.244467 0.366969 -0.216829 0.0152543 0 
0.155433 -0.199761 -0.199688 0.183056 0.142435 0 
-0.0384951 0.258043 -0.273531 -0.232172 -0.0346357 0 
0.026203 0.267181 -0.412034 -0.232695 0.022821 0 
0.152553 -0.229791 -0.00590403 0.217239 0.14422 0 
0.14511 0.242947 -0.0863639 -0.225347 0.134598 0 
0.104852 -0.270352 -0.162914 0.246176 0.0954759 0 
0.285195 0.0821713 -0.167425 -0.074547 0.258733 0 
0.200761 0.227568 0.0142888 -0.212409 0.187388 0 
-0.299458 0.0801312 0.215297 -0.0715814 -0.267507 0 
0.0810323 -0.305833 -0.226763 0.271802 0.0720156 0 
0.180107 0.267704 0.0435922 -0.246374 0.165756 0 
0.306913 0.117951 -0.482082 -0.0986814 0.256772 0 
0.00088638 0.33483 -0.0984705 -0.303092 0.000802361 0 
-0.00360219 0.340739 -0.460635 -0.284882 -0.00301169 0 
0.335892 0.085422 0.0944638 -0.0769729 0.302669 0 
0.35047 -0.0359859 0.261385 0.0312395 0.304244 0 
0.0154742 -0.357615 -0.213477 0.31275 0.0135328 0 
0.0226411 0.362794 0.227183 -0.315531 0.0196915 0 
-0.345977 0.128202 -0.247166 -0.11074 -0.298853 0 
-0.0907231 -0.363193 0.331496 0.307346 -0.0767727 0 
-0.275837 -0.26088 -0.204218 0.226188 -0.239156 0 
0.271911 -0.27242 0.273338 0.23218 0.231747 0 
-0.278534 -0.273077 0.200353 0.235718 -0.240428 0 
-0.391907 -0.0506492 -0.27932 0.0428889 -0.33186 0 
-0.140978 0.374547 0.289317 -0.315669 -0.118817 0 
-0.400037 -0.0642978 0.479016 0.0518739 -0.32274 0 
0.286651 -0.293256 0.38783 0.240743 0.235321 0 
0.374331 -0.17902 -0.142747 0.154376 0.3228 0 
0.314916 0.277496 -0.146866 -0.238481 0.270641 0 
0.000876034 0.424475 -0.065012 -0.370005 0.000763617 0 
-0.322166 -0.283537 0.226139 0.238476 -0.270966 0 
0.429484 0.061091 -0.340133 -0.0500284 0.351711 0 
-0.438324 -0.0080324 0.0039477 0.00703465 -0.383877 0 
-0.20783 0.391156 0.122938 -0.333569 -0.177233 0 
0.321716 0.310965 -0.0196609 -0.270122 0.279461 0 
0.451242 -0.0241932 -0.153127 0.0204014 0.380518 0 
-0.40797 0.204375 0.286518 -0.167183 -0.333728 0 
0.331562 -0.319811 0.128934 0.269689 0.279598 0 
-0.46295 -0.0435176 -0.078334 0.036987 -0.393476 0 
