x y vx vy
-1.4741 -0.193311 0.0806018 -0.61463 
-0.0342114 0.609034 -0.480401 -0.0269856 
0.288128 -0.254584 0.229574 0.259823 
1.28043 0.050003 -0.0241294 0.617883 
0.00503483 -1.75128 0.611504 0.00175804 
0.961336 0.0725425 -0.044312 0.587224 
-0.0391655 0.125286 -0.123691 -0.0386669 
-1.9752 0.0562826 -0.0170774 -0.599321 
-1.52714 0.558562 -0.211775 -0.579004 
-1.15799 0.393416 -0.198132 -0.583188 
0.937083 0.370481 -0.219027 0.554001 
-0.54143 -1.78391 0.579753 -0.175959 
1.75499 0.826926 -0.256449 0.544264 
0.104879 -1.97125 0.598833 0.0318605 
-0.624651 1.69469 -0.571305 -0.210579 
0.338175 0.337799 -0.289491 0.289813 
-0.526044 -1.52269 0.583189 -0.201474 
1.4962 0.343104 -0.138365 0.60338 
1.10612 -1.56967 0.492733 0.347221 
0.465607 0.424523 -0.330371 0.362343 
0.0051039 0.212435 -0.205514 0.00493761 
0.939788 0.56149 -0.310993 0.520522 
0.0727407 1.23835 -0.615704 0.0361664 
-0.642845 -0.143611 0.109598 -0.490595 
-1.74679 0.287963 -0.0993217 -0.602486 
-1.92379 0.460344 -0.139502 -0.582982 
0.0782367 1.11208 -0.606788 0.0426884 
-1.36167 -0.809013 0.315573 -0.53115 
-1.29757 0.605013 -0.262162 -0.562257 
0.699922 1.74555 -0.561523 0.225156 
-1.22118 -1.05469 0.403245 -0.466898 
-0.860804 -0.443599 0.270094 -0.524118 
0.422169 -0.635914 0.450679 0.299196 
0.0869989 0.129018 -0.126723 0.0854516 
0.889677 0.543462 -0.313002 0.512401 
0.97999 -0.24026 0.141897 0.57878 
0.897933 0.630892 -0.348739 0.496352 
1.07233 -0.526639 0.270819 0.551434 
-0.0554064 1.33293 -0.619157 -0.0257367 
0.391741 0.823289 -0.522984 0.248849 
0.522109 -0.516907 0.373952 0.377716 
-0.144165 0.307208 -0.283094 -0.132848 
0.0327442 -1.19193 0.613976 0.0168668 
-1.01129 -0.0944063 0.0554779 -0.594283 
1.00194 0.296736 -0.170591 0.576011 
-0.202601 0.762844 -0.530519 -0.140898 
-0.471226 -0.10738 0.0917373 -0.40258 
0.00200455 0.757218 -0.539008 0.00142689 
0.00411112 1.24751 -0.617071 0.00203353 
-0.590347 1.09135 -0.542495 -0.293453 
-0.489782 1.21546 -0.57431 -0.231423 
0.987747 -1.55302 0.512287 0.325823 
-0.901094 -0.627257 0.346599 -0.497911 
-0.889373 -0.644527 0.356023 -0.491271 
0.112719 1.80617 -0.607519 0.0379138 
-1.65752 -0.50285 0.177776 -0.585997 
0.551335 1.44705 -0.578194 0.220295 
-1.1126 -0.159285 0.0863231 -0.602961 
0.28808 1.66168 -0.605265 0.104933 
-0.211795 -0.6663 0.494356 -0.15714 
0.019557 -1.7481 0.611609 0.00684241 
0.0327332 -1.57518 0.617922 0.0128408 
0.935979 -0.223646 0.136791 0.572481 
1.83014 -0.657883 0.203435 0.565929 
0.679863 -1.67603 0.564108 0.228824 
